Index, Matrix, , , , , , Eig.val, CR, Eig.vec, , , , , LP. vec, , , , ,  
1, 1, 1, 5, 5, 8, 3, 4.22588, 0.0851727, , 1, 1.69264, 0.590314, 0.188585, , 1, 1.69264, 0.590314, 0.196771, , 
2, 1, 1, 0.333333, 3, 0.5, 0.25, 4.10314, 0.0388918, , 1, 1.45845, 0.705831, 2.81657, , 1, 1.45845, 0.705831, 2.82333, , 
3, 1, 1, 0.333333, 4, 0.5, 0.2, 4.16554, 0.0624192, , 1, 1.56663, 0.624347, 2.92367, , 1, 1.56663, 0.624347, 3, , 
4, 1, 1, 0.333333, 5, 0.5, 0.2, 4.22772, 0.0858687, , 1, 1.67406, 0.592261, 2.88421, , 1, 1.67406, 0.592261, 2.9613, , 
5, 1, 1, 0.25, 3, 0.333333, 0.166667, 4.10314, 0.0388918, , 1, 1.41677, 0.688763, 3.99044, , 1, 1.41677, 0.688763, 4, , 
6, 1, 1, 0.25, 5, 0.5, 0.166667, 4.22772, 0.0858687, , 1, 1.76893, 0.59735, 3.44576, , 1, 1.76893, 0.59735, 3.53787, , 
7, 1, 1, 0.2, 4, 0.333333, 0.142857, 4.16671, 0.0628611, , 1, 1.61153, 0.647701, 4.53736, , 1, 1.61153, 0.647701, 4.53736, , 
8, 1, 1, 0.2, 4, 0.333333, 0.125, 4.16554, 0.0624192, , 1, 1.60167, 0.627308, 4.68277, , 1, 1.60167, 0.627308, 4.80502, , 
9, 1, 1, 0.2, 5, 0.333333, 0.125, 4.22588, 0.0851727, , 1, 1.70847, 0.594689, 4.6136, , 1, 1.70847, 0.594689, 4.75751, , 
10, 1, 1, 0.2, 5, 0.333333, 0.111111, 4.22526, 0.0849405, , 1, 1.69762, 0.578767, 4.74435, , 1, 1.69762, 0.578767, 5, , 
11, 1, 1, 0.166667, 3, 0.25, 0.125, 4.10314, 0.0388918, , 1, 1.45845, 0.705831, 5.63315, , 1, 1.45845, 0.705831, 5.64665, , 
12, 1, 1, 0.166667, 3, 0.25, 0.111111, 4.10314, 0.0388918, , 1, 1.45188, 0.685659, 5.79363, , 1, 1.45188, 0.685659, 5.80751, , 
13, 1, 1, 0.166667, 4, 0.25, 0.111111, 4.1664, 0.0627469, , 1, 1.5752, 0.640374, 5.70495, , 1, 1.5752, 0.640374, 5.76337, , 
14, 1, 1, 0.166667, 5, 0.333333, 0.111111, 4.22772, 0.0858687, , 1, 1.76893, 0.59735, 5.16864, , 1, 1.76893, 0.59735, 5.3068, , 
15, 1, 2, 4, 3, 3, 3, 4.10314, 0.0388918, , 1, 1.06512, 0.51781, 0.250599, , 1, 1.06258, 0.516572, 0.25, , 
16, 1, 2, 5, 4, 3, 4, 4.24605, 0.0927779, , 1, 1.13764, 0.509928, 0.21771, , 1, 1.11549, 0.5, 0.213471, , 
17, 1, 2, 6, 3, 4, 1, 4.10314, 0.0388918, , 1, 0.965604, 0.342829, 0.24198, , 1, 0.967919, 0.342829, 0.24198, , 
18, 1, 2, 6, 3, 4, 5, 4.15021, 0.0566395, , 1, 1.04802, 0.540011, 0.170361, , 1, 1.02529, 0.528299, 0.166667, , 
19, 1, 2, 6, 4, 4, 5, 4.22772, 0.0858687, , 1, 1.16085, 0.513365, 0.173358, , 1, 1.13062, 0.5, 0.168845, , 
20, 1, 2, 6, 8, 9, 2, 4.1664, 0.0627469, , 1, 1.5752, 0.320187, 0.158471, , 1, 1.5752, 0.320187, 0.160094, , 
21, 1, 2, 6, 0.5, 4, 5, 4.16554, 0.0624192, , 1, 0.636983, 0.803173, 0.153701, , 1, 0.636983, 0.803173, 0.159246, , 
22, 1, 2, 7, 3, 5, 5, 4.10272, 0.0387312, , 1, 1.05294, 0.510915, 0.146849, , 1, 1.03045, 0.5, 0.143711, , 
23, 1, 2, 7, 4, 5, 6, 4.21739, 0.0819726, , 1, 1.1762, 0.515777, 0.144235, , 1, 1.16496, 0.510851, 0.142857, , 
24, 1, 2, 8, 3, 5, 1, 4.16554, 0.0624192, , 1, 0.933109, 0.319156, 0.199264, , 1, 0.957469, 0.319156, 0.199264, , 
25, 1, 2, 8, 3, 5, 8, 4.21622, 0.0815315, , 1, 1.04724, 0.578592, 0.126475, , 1, 1.03502, 0.571844, 0.125, , 
26, 1, 2, 8, 3, 5, 9, 4.25415, 0.0958318, , 1, 1.05469, 0.604263, 0.123866, , 1, 1.05469, 0.604263, 0.123866, , 
27, 1, 2, 8, 3, 6, 6, 4.10314, 0.0388918, , 1, 1.06512, 0.51781, 0.1253, , 1, 1.06258, 0.516572, 0.125, , 
28, 1, 2, 8, 4, 5, 7, 4.26098, 0.0984071, , 1, 1.15357, 0.525321, 0.132095, , 1, 1.09797, 0.5, 0.125728, , 
29, 1, 2, 9, 3, 5, 1, 4.19656, 0.0741186, , 1, 0.895026, 0.308317, 0.187211, , 1, 0.92495, 0.308317, 0.187211, , 
30, 1, 2, 9, 3, 6, 7, 4.13419, 0.0505985, , 1, 1.04412, 0.527459, 0.115016, , 1, 1.00867, 0.50955, 0.111111, , 
31, 1, 2, 9, 3, 6, 8, 4.1664, 0.0627469, , 1, 1.05172, 0.552224, 0.112249, , 1, 1.04106, 0.546626, 0.111111, , 
