interval	#all	eigen	spantree	cosine	common
0	3041	0.00526143	0.0016442	0.00361723	0.0016442
0.0231	5822	0.017348	0.0063552	0.0154586	0.00532463
0.0462	8358	0.0240488	0.00741804	0.020938	0.00622158
0.0693	10912	0.0173204	0.00623167	0.0215359	0.00449047
0.0924	12503	0.0398304	0.0138367	0.0355115	0.0103975
0.1155	15166	0.0245286	0.00745088	0.0234736	0.00580245
0.1386	16274	0.0344722	0.014686	0.0358855	0.0114293
0.1617	18498	0.0398962	0.0147584	0.0356255	0.0121635
0.1848	18576	0.0235788	0.00888243	0.0262705	0.00565245
0.2079	19502	0.0482002	0.0252282	0.0543534	0.0175367
0.231	19604	0.0289227	0.0123954	0.0302999	0.00928382
0.2541	19831	0.0419545	0.0213302	0.0440724	0.0163381
0.2772	19032	0.0361496	0.0202291	0.0418243	0.0123476
0.3003	19486	0.0506004	0.0271477	0.0539362	0.0176024
0.3234	19726	0.0529758	0.0278313	0.0554598	0.0208354
0.3465	17728	0.0159634	0.0121277	0.0267374	0.00462545
0.3696	18440	0.0970174	0.0550976	0.101464	0.0428416
0.3927	16865	0.0408538	0.0279277	0.0511118	0.0175511
0.4158	15947	0.0703581	0.0417633	0.0765034	0.0299116
0.4389	16282	0.0885641	0.0534332	0.0990665	0.0383245
0.462	14751	0.0467087	0.0328113	0.0627754	0.0164735
0.4851	15069	0.141483	0.0757847	0.139425	0.0649015
0.5082	13625	0.0612844	0.0485872	0.0932844	0.0245138
0.5313	12943	0.122305	0.0722398	0.128409	0.0561694
0.5544	12342	0.0885594	0.0578512	0.108977	0.0361368
0.5775	12209	0.132607	0.0819068	0.143501	0.065935
0.6006	11935	0.173021	0.0950147	0.185505	0.0713867
0.6237	10690	0.104864	0.0714687	0.128344	0.0481759
0.6468	10949	0.176272	0.0977258	0.184948	0.0792766
0.6699	10999	0.173743	0.109828	0.204746	0.0829166
0.693	10592	0.197696	0.113576	0.211008	0.0918618
0.7161	9459	0.132149	0.0740036	0.148007	0.0481023
0.7392	9871	0.191774	0.121366	0.217708	0.102826
0.7623	10376	0.291731	0.146396	0.29308	0.129819
0.7854	9202	0.142469	0.0943273	0.182678	0.0592263
0.8085	9647	0.243599	0.132476	0.255416	0.118897
0.8316	9339	0.211693	0.110183	0.22904	0.0898383
0.8547	8982	0.213984	0.125139	0.244155	0.103095
0.8778	9383	0.232761	0.130236	0.249494	0.113823
0.9009	9333	0.27151	0.134683	0.284796	0.123004
0.924	8253	0.169635	0.0974191	0.199564	0.0754877
0.9471	9199	0.308403	0.164583	0.320252	0.155452
0.9702	8957	0.2838	0.138774	0.298203	0.123702
0.9933	8895	0.234177	0.129286	0.256211	0.110174
1.0164	8697	0.269403	0.141198	0.283661	0.132804
1.0395	9134	0.2933	0.147143	0.312349	0.134771
1.0626	8535	0.230228	0.111658	0.240187	0.0949033
1.0857	8401	0.232234	0.123438	0.251161	0.113082
1.1088	9923	0.370553	0.195102	0.385468	0.186939
1.1319	8955	0.278392	0.126968	0.287884	0.115243
1.155	7862	0.157593	0.0802595	0.183795	0.0653778
1.1781	8571	0.26018	0.139307	0.281764	0.13254
1.2012	9327	0.342768	0.168865	0.346414	0.163718
1.2243	8570	0.248191	0.124154	0.263244	0.112019
1.2474	8371	0.247521	0.118863	0.265201	0.110739
1.2705	8686	0.261685	0.134815	0.271011	0.1309
1.2936	8862	0.296096	0.144098	0.305123	0.141277
1.3167	7729	0.220727	0.0910855	0.228102	0.0825463
1.3398	7990	0.194243	0.0942428	0.208636	0.0889862
1.3629	8737	0.323681	0.171226	0.334096	0.169166
1.386	9076	0.318422	0.151168	0.318092	0.149295
1.4091	7656	0.195925	0.0766719	0.208595	0.0697492
1.4322	8006	0.219086	0.109293	0.222583	0.105796
1.4553	8127	0.267873	0.139289	0.280423	0.137074
1.4784	8929	0.291746	0.137641	0.29533	0.135178
1.5015	7257	0.182307	0.0669698	0.190161	0.0638005
1.5246	7773	0.208156	0.0990609	0.221279	0.0963592
1.5477	7637	0.217363	0.10855	0.223124	0.106717
1.5708	8576	0.304338	0.159865	0.310984	0.157999
1.5939	7601	0.227733	0.0919616	0.232075	0.0909091
1.617	6416	0.11861	0.0341334	0.127026	0.0316397
1.6401	7643	0.205809	0.108204	0.214575	0.106503
1.6632	7781	0.282097	0.143041	0.283383	0.142784
1.6863	7653	0.271136	0.126225	0.27192	0.125441
1.7094	6868	0.186517	0.0783343	0.194671	0.0765871
1.7325	6635	0.139714	0.056217	0.144687	0.055162
1.7556	6775	0.18155	0.079262	0.184502	0.0786716
1.7787	6493	0.188819	0.0965655	0.192823	0.0965655
1.8018	6915	0.239046	0.118727	0.241215	0.118004
1.8249	6570	0.223744	0.0960426	0.22481	0.0957382
1.848	6570	0.170776	0.0710807	0.176408	0.0707763
1.8711	5617	0.101834	0.0325797	0.110201	0.0320456
1.8942	5853	0.145566	0.0775671	0.145908	0.0772254
1.9173	6156	0.222385	0.114522	0.227583	0.114198
1.9404	6533	0.230828	0.107608	0.230369	0.107608
1.9635	5152	0.134511	0.0407609	0.138199	0.0403727
1.9866	5133	0.0603935	0.00720826	0.0640951	0.00720826
2.0097	5132	0.120226	0.0629384	0.122369	0.0629384
2.0328	5296	0.155967	0.0934668	0.158799	0.0934668
2.0559	5566	0.237513	0.113726	0.238232	0.113726
2.079	4942	0.142452	0.0532173	0.145285	0.0532173
2.1021	4550	0.0797802	0.0112088	0.0802198	0.0112088
2.1252	3993	0.0288004	0.00150263	0.0305535	0.00150263
2.1483	4401	0.0733924	0.0454442	0.0774824	0.0454442
2.1714	4811	0.207441	0.113074	0.207026	0.113074
2.1945	4076	0.146467	0.0625613	0.146467	0.0625613
2.2176	4018	0.0866103	0.0171727	0.0881035	0.0171727
2.2407	3566	0.0255188	0.00168256	0.0286035	0.00168256
2.2638	3280	0.0134146	0	0.0158537	0
2.2869	3725	0.113557	0.0700671	0.115705	0.0700671
2.31	3599	0.120033	0.0583495	0.120033	0.0583495
2.3331	3140	0.0700637	0.0226115	0.0700637	0.0226115
2.3562	2908	0.0361073	0.00240715	0.0354195	0.00240715
2.3793	2695	0.0141002	0	0.0159555	0
2.4024	2813	0.0188411	0.0117312	0.0191966	0.0117312
2.4255	2666	0.079895	0.0435109	0.0802701	0.0435109
2.4486	2483	0.0394684	0.0161095	0.0406766	0.0161095
2.4717	2404	0.0207987	0.00374376	0.0220466	0.00374376
2.4948	2131	0.0107931	0	0.0103238	0
2.5179	2013	0.00447094	0	0.00496771	0
2.541	2035	0.0014742	0	0.0019656	0
2.5641	1812	0.00220751	0	0.00165563	0
2.5872	1751	0	0	0	0
2.6103	1575	0	0	0	0
2.6334	1465	0	0	0	0
2.6565	1443	0	0	0	0
2.6796	1377	0	0	0	0
2.7027	1140	0	0	0	0
2.7258	1203	0	0	0	0
2.7489	1008	0	0	0	0
2.772	1021	0	0	0	0
2.7951	917	0	0	0	0
2.8182	812	0	0	0	0
2.8413	805	0	0	0	0
2.8644	670	0	0	0	0
2.8875	654	0	0	0	0
2.9106	526	0	0	0	0
2.9337	590	0	0	0	0
2.9568	422	0	0	0	0
2.9799	455	0	0	0	0
3.003	365	0	0	0	0
3.0261	360	0	0	0	0
3.0492	284	0	0	0	0
3.0723	275	0	0	0	0
3.0954	242	0	0	0	0
3.1185	216	0	0	0	0
3.1416	168	0	0	0	0
3.1647	148	0	0	0	0
3.1878	155	0	0	0	0
3.2109	94	0	0	0	0
3.234	103	0	0	0	0
3.2571	86	0	0	0	0
3.2802	63	0	0	0	0
3.3033	62	0	0	0	0
3.3264	48	0	0	0	0
3.3495	43	0	0	0	0
3.3726	25	0	0	0	0
3.3957	31	0	0	0	0
3.4188	17	0	0	0	0
3.4419	20	0	0	0	0
3.465	8	0	0	0	0
3.4881	7	0	0	0	0
3.5112	12	0	0	0	0
3.5343	1	0	0	0	0
3.5574	7	0	0	0	0
3.5805	1	0	0	0	0
3.6036	2	0	0	0	0
3.6267	1	0	0	0	0
3.6498	0	0	0	0	0
