consistency	#all	avg upper	6 upper	5 upper	4 upper	3 upper
0	17709	0.339375	0.660625	0.339375	0	0
0.07	38857	0.506936	0.493064	0.506936	0	0
0.14	54338	0.581269	0.42162	0.57549	0.00288932	0
0.21	59417	0.632614	0.37698	0.613427	0.00959321	0
0.28	58416	0.648144	0.370772	0.610312	0.0189161	0
0.35	53544	0.635496	0.396496	0.571511	0.0319924	0
0.42	47358	0.613624	0.439144	0.508087	0.0527683	0
0.49	41738	0.635081	0.452849	0.459222	0.0879295	0
0.56	36221	0.685707	0.434058	0.446178	0.119765	0
0.63	32640	0.778094	0.381771	0.458364	0.159865	0
0.7	30168	0.869199	0.323687	0.483426	0.192887	0
0.77	29530	0.986353	0.248832	0.515984	0.235185	0
0.84	27572	1.09372	0.174742	0.556797	0.268461	0
0.91	27335	1.18822	0.109786	0.592208	0.298006	0
0.98	26716	1.25386	0.0673754	0.611394	0.321231	0
1.05	26633	1.29809	0.0418654	0.61818	0.339954	0
1.12	26397	1.3203	0.0256847	0.628329	0.345986	0
1.19	26899	1.34473	0.0136065	0.628053	0.35834	0
1.26	25672	1.35844	0.00736211	0.626831	0.365807	0
1.33	25679	1.36481	0.00292067	0.629347	0.367732	0
1.4	23937	1.37181	0.000584869	0.627021	0.372394	0
1.47	24634	1.37542	8.11886e-05	0.624422	0.375497	0
1.54	24045	1.37592	0	0.62408	0.37592	0
1.61	22000	1.3865	0	0.6135	0.3865	0
1.68	21236	1.38275	0	0.617254	0.382746	0
1.75	20720	1.39952	0	0.600483	0.399517	0
1.82	19190	1.39786	0	0.602137	0.397863	0
1.89	18470	1.40157	0	0.59843	0.40157	0
1.96	15707	1.42892	0	0.571083	0.428917	0
2.03	16121	1.41598	0	0.584021	0.415979	0
2.1	12995	1.45725	0	0.542747	0.457253	0
2.17	13103	1.43456	0	0.565443	0.434557	0
2.24	10698	1.46999	0	0.530006	0.469994	0
2.31	9739	1.47531	0	0.524695	0.475305	0
2.38	8277	1.4887	0	0.511296	0.488704	0
2.45	6995	1.51108	0	0.488921	0.511079	0
2.52	5891	1.52436	0	0.475641	0.524359	0
2.59	4863	1.54267	0	0.457331	0.542669	0
2.66	3980	1.54698	0	0.453015	0.546985	0
2.73	3161	1.55742	0	0.442581	0.557419	0
2.8	2476	1.55735	0	0.442649	0.557351	0
2.87	1866	1.57824	0	0.421758	0.578242	0
2.94	1407	1.5764	0	0.423596	0.576404	0
3.01	984	1.59451	0	0.405488	0.594512	0
3.08	697	1.60832	0	0.391679	0.608321	0
3.15	435	1.6023	0	0.397701	0.602299	0
3.22	282	1.62411	0	0.375887	0.624113	0
3.29	171	1.60234	0	0.397661	0.602339	0
3.36	84	1.63095	0	0.369048	0.630952	0
3.43	45	1.66667	0	0.333333	0.666667	0
3.5	16	1.6875	0	0.3125	0.6875	0
3.57	8	1.625	0	0.375	0.625	0
3.64	1	1	0	1	0	0
3.71	0	0	0	0	0	0
