bucket,all,eigen,spantree,common
0,541,0,0,0,0
1,808,2,0,0,1
2,1234,5,0,0,4
3,1544,10,5,5,9
4,1662,2,5,1,25
5,1824,93,31,31,60
6,2349,34,9,9,19
7,2299,53,10,9,39
8,2569,99,37,32,73
9,3348,20,7,5,48
10,2750,55,22,16,77
11,3579,56,17,13,55
12,3596,78,29,20,101
13,3708,79,25,23,88
14,3580,30,6,5,31
15,4504,372,133,102,303
16,4218,43,16,16,48
17,4396,147,34,27,105
18,5040,153,59,44,194
19,4532,89,27,24,82
20,4623,355,152,141,278
21,5678,132,66,33,205
22,5000,37,9,7,60
23,6139,458,152,134,347
24,4975,68,29,13,114
25,6010,204,90,86,188
26,5321,170,79,52,208
27,6058,176,55,35,173
28,5594,74,28,21,87
29,5417,86,18,15,80
30,6373,648,300,272,568
31,6488,183,146,63,365
32,5909,58,42,11,104
33,5912,151,64,49,132
34,5899,215,88,76,193
35,6268,199,84,58,249
36,5843,232,121,102,274
37,5711,152,85,53,181
38,6558,410,201,169,372
39,5895,390,182,126,387
40,6079,109,87,38,193
41,5518,48,47,25,104
42,6504,557,276,256,487
43,6187,466,228,159,468
44,5562,120,83,32,200
45,5933,105,82,56,213
46,6171,368,181,154,331
47,5994,335,209,145,368
48,5530,288,125,89,278
49,5437,96,80,29,152
50,5627,76,67,27,154
51,5327,63,40,18,82
52,5814,578,327,307,592
53,5432,838,393,370,739
54,5732,344,250,134,476
55,5238,180,132,68,280
56,5034,79,119,45,175
57,5433,328,191,153,365
58,5229,307,186,148,307
59,5063,403,199,154,383
60,4854,211,139,66,280
61,4753,411,278,223,514
62,4895,456,239,203,445
63,5579,300,216,126,418
64,4522,570,331,273,575
65,4721,367,205,155,388
66,4362,222,163,77,301
67,4698,99,99,41,170
68,4618,131,119,67,288
69,4136,830,459,428,786
70,4699,777,412,365,755
71,4729,574,302,225,578
72,3910,233,190,82,342
73,4442,137,123,48,250
74,4231,413,299,225,580
75,3898,405,234,187,438
76,3898,526,308,257,504
77,4135,513,307,235,566
78,4198,397,208,155,398
79,3666,209,180,91,369
80,3814,450,291,221,511
81,3385,280,178,128,324
82,3748,212,134,85,247
83,3428,722,474,415,774
84,4165,797,434,388,838
85,3913,834,402,372,800
86,3517,589,363,254,705
87,3456,369,245,147,454
88,3408,179,150,71,280
89,3069,380,259,195,413
90,3412,493,301,250,586
91,3630,596,333,298,606
92,3167,644,353,309,638
93,3548,583,329,248,687
94,3112,405,228,148,420
95,3272,610,426,346,701
96,3555,698,430,340,869
97,3034,527,290,243,601
98,3345,578,343,275,604
99,3404,774,467,403,848
100,3099,586,320,265,613
101,3071,577,288,237,596
102,2876,444,233,164,497
103,2998,193,150,74,252
104,2598,203,191,116,356
105,2612,275,186,138,345
106,3809,1105,661,622,1134
107,2999,956,501,476,971
108,3232,1064,519,480,1033
109,3367,982,461,421,945
110,2913,500,317,226,625
111,2829,408,254,154,523
112,2527,259,175,101,376
113,3229,629,408,341,729
114,2908,621,339,310,676
115,2804,499,259,224,539
116,3029,916,526,492,941
117,3107,895,468,412,930
118,2970,635,334,284,695
119,2659,482,232,191,516
120,2615,443,277,213,519
121,2975,691,419,359,787
122,2956,624,354,296,727
123,2688,472,227,206,499
124,2452,386,185,158,415
125,2960,899,553,511,955
126,3049,833,456,408,896
127,2666,706,381,344,778
128,3081,932,452,429,941
129,2687,646,306,284,660
130,2486,484,248,193,566
131,2681,424,265,224,485
132,2808,459,276,220,590
133,2455,704,389,367,745
134,2976,958,526,504,1010
135,2873,783,388,373,798
136,2826,953,488,471,962
137,3006,981,464,437,989
138,2710,700,341,299,755
139,2589,527,263,215,596
