bucket,all,eigen,spantree,common,cosine
0,3041,16,5,5,11
1,5822,101,37,33,90
2,8358,201,62,54,175
3,10912,189,68,49,235
4,12503,498,173,139,444
5,15166,372,113,90,356
6,16274,561,239,192,584
7,18498,738,273,234,659
8,18576,438,165,109,488
9,19502,940,492,359,1060
10,19604,567,243,183,594
11,19831,832,423,336,874
12,19032,688,385,253,796
13,19486,986,529,374,1051
14,19726,1045,549,428,1094
15,17728,283,215,90,474
16,18440,1789,1016,829,1871
17,16865,689,471,308,862
18,15947,1122,666,493,1220
19,16282,1442,870,656,1613
20,14751,689,484,279,926
21,15069,2132,1142,998,2101
22,13625,835,662,374,1271
23,12943,1583,935,749,1662
24,12342,1093,714,482,1345
25,12209,1619,1000,831,1752
26,11935,2065,1134,903,2214
27,10690,1121,764,551,1372
28,10949,1930,1070,890,2025
29,10999,1911,1208,944,2252
30,10592,2094,1203,1011,2235
31,9459,1250,700,489,1400
32,9871,1893,1198,1034,2149
33,10376,3027,1519,1371,3041
34,9202,1311,868,596,1681
35,9647,2350,1278,1170,2464
36,9339,1977,1029,864,2139
37,8982,1922,1124,951,2193
38,9383,2184,1222,1099,2341
39,9333,2534,1257,1163,2658
40,8253,1400,804,659,1647
41,9199,2837,1514,1447,2946
42,8957,2542,1243,1127,2671
