interval	#all	%eigen	%spantree	%cosine	%common
0	10139	0,0143998	0,00493145	0,0117369	0,00424105
0,05	21997	0,02023	0,00668273	0,0219575	0,00527345
0,1	31215	0,0408778	0,0145443	0,0359443	0,0117892
0,15	39437	0,0295408	0,0116388	0,0310368	0,00829171
0,2	41933	0,035986	0,0170033	0,0382753	0,0123292
0,25	42196	0,0361646	0,0195279	0,0415205	0,0130818
0,3	41823	0,0518853	0,0278077	0,0553284	0,0193673
0,35	38633	0,0560402	0,0336241	0,0643232	0,0230632
0,4	36151	0,0635667	0,0383669	0,0712567	0,0276064
0,45	32257	0,0877949	0,0541278	0,0979942	0,0393713
0,5	29983	0,0961878	0,0598006	0,110896	0,0411567
0,55	26391	0,113561	0,0710091	0,12887	0,0516843
0,6	25062	0,139893	0,0828346	0,156292	0,0605299
0,65	23024	0,176338	0,104413	0,197837	0,0815671
0,7	21045	0,152245	0,0913756	0,17168	0,0661915
0,75	21639	0,242571	0,133047	0,25796	0,111281
0,8	20766	0,225272	0,124386	0,243379	0,106135
0,85	20015	0,216438	0,122258	0,238671	0,102923
0,9	18734	0,226006	0,118821	0,24661	0,102434
0,95	19707	0,27985	0,141929	0,292637	0,12904
1	19415	0,282204	0,153026	0,301777	0,139222
1,05	18391	0,236855	0,117558	0,2542	0,103964
1,1	20435	0,325177	0,162124	0,334328	0,154588
1,15	17751	0,204608	0,106811	0,230015	0,0939665
1,2	19624	0,295607	0,147676	0,304525	0,139421
1,25	18263	0,259213	0,128237	0,273285	0,122543
1,3	17675	0,241245	0,113267	0,251485	0,107214
1,35	19141	0,294238	0,147902	0,300768	0,145708
1,4	17048	0,220906	0,0944392	0,22683	0,0895706
1,45	18229	0,282736	0,142081	0,291294	0,139722
1,5	16361	0,191247	0,081841	0,201638	0,0787849
1,55	17492	0,275555	0,139321	0,280757	0,137777
1,6	15291	0,16101	0,0646786	0,168661	0,0628474
1,65	16738	0,259828	0,131019	0,262815	0,130183
1,7	14693	0,185871	0,0713945	0,191316	0,0700333
1,75	14498	0,184301	0,0915988	0,188371	0,091254
1,8	14553	0,229369	0,106095	0,230812	0,105614
1,85	13093	0,13175	0,049263	0,138013	0,0488811
1,9	13603	0,21135	0,113284	0,213776	0,11299
1,95	11785	0,142215	0,0457361	0,144251	0,0455664
2	10880	0,0887868	0,0409926	0,0921875	0,0409926
2,05	11796	0,215158	0,107325	0,216853	0,107325
2,1	9145	0,0581739	0,00743576	0,0592674	0,00743576
2,15	10054	0,148598	0,0823553	0,150189	0,0823553
2,2	8415	0,096732	0,028877	0,0980392	0,028877
2,25	7441	0,0185459	0,0043005	0,0210993	0,0043005
2,3	7640	0,127487	0,0658377	0,127749	0,0658377
2,35	6176	0,0318977	0,00275259	0,0320596	0,00275259
2,4	5941	0,0484767	0,0264265	0,04915	0,0264265
2,45	5255	0,0266413	0,00780209	0,0275928	0,00780209
2,5	4441	0,00495384	0	0,00540419	0
2,55	3905	0,00128041	0	0,00102433	0
2,6	3490	0	0	0	0
2,65	3060	0	0	0	0
2,7	2534	0	0	0	0
2,75	2205	0	0	0	0
2,8	1805	0	0	0	0
2,85	1522	0	0	0	0
2,9	1242	0	0	0	0
2,95	1010	0	0	0	0
3	777	0	0	0	0
3,05	606	0	0	0	0
3,1	468	0	0	0	0
3,15	336	0	0	0	0
3,2	244	0	0	0	0
3,25	170	0	0	0	0
3,3	116	0	0	0	0
3,35	79	0	0	0	0
3,4	45	0	0	0	0
3,45	27	0	0	0	0
3,5	13	0	0	0	0
3,55	8	0	0	0	0
3,6	3	0	0	0	0
3,65	1	0	0	0	0
