bucket,all,eigen,spantree,common
0,866,0,0,0,0
1,1579,3,0,0,5
2,1998,14,5,5,16
3,2523,95,36,32,78
4,3175,34,9,9,20
5,3376,63,10,9,44
6,4197,109,44,37,113
7,4432,66,26,17,102
8,4735,106,37,29,112
9,5257,101,30,26,112
10,5456,370,123,103,285
11,6229,56,27,15,87
12,6297,272,76,60,202
13,6451,120,46,38,164
14,6782,458,182,166,384
15,7569,45,41,11,157
16,8291,476,156,137,361
17,7413,101,36,20,160
18,7657,328,151,125,331
19,8507,215,75,49,215
20,8119,111,32,23,132
21,8289,672,295,278,565
22,8646,229,184,72,438
23,8551,145,72,44,166
24,8328,352,130,117,304
25,8486,188,98,60,282
26,8238,290,163,122,339
27,8879,553,269,229,521
28,8364,353,189,103,404
29,8229,142,105,69,206
30,8856,761,384,322,731
31,8159,293,160,81,353
32,8755,267,165,130,369
33,8285,444,239,170,448
34,7768,405,215,155,413
35,7986,134,102,41,231
36,7555,84,60,24,135
37,7918,1093,553,529,1018
38,7819,612,372,264,646
39,7355,242,212,89,455
40,7010,287,212,143,360
41,7901,444,262,210,456
42,7012,526,265,197,525
43,6788,453,324,226,604
44,7440,588,324,256,631
45,6775,588,397,290,688
46,6464,612,330,242,624
47,6121,210,178,80,324
48,6758,163,154,82,337
49,6139,1259,687,637,1188
50,6639,873,448,358,869
51,5998,323,276,121,513
52,5703,337,261,169,505
53,5673,621,363,290,696
54,5970,730,445,363,742
55,5616,612,336,258,641
56,5245,387,294,171,544
57,5047,528,333,246,621
58,5153,305,202,130,358
59,5330,1165,709,627,1237
60,5576,1115,548,510,1085
61,4969,804,496,345,959
62,4901,347,252,131,450
63,4256,467,334,247,555
64,5360,773,446,373,868
65,4316,891,495,448,886
66,4601,757,422,313,854
67,4762,759,507,380,860
68,4775,886,551,438,1084
69,4570,767,429,360,871
70,4679,1028,617,519,1086
71,4344,928,474,403,926
72,4148,629,330,244,714
73,4075,265,218,100,368
74,3799,354,284,199,519
75,4807,1261,750,695,1322
76,4316,1332,684,646,1330
77,4730,1551,739,677,1502
78,4131,691,412,292,812
79,3655,414,294,169,616
80,4295,774,490,400,908
81,4111,789,440,392,856
82,4316,1192,649,606,1231
83,4292,1120,589,516,1184
84,3752,803,415,347,875
85,3856,677,406,324,778
86,4121,946,544,461,1058
87,4015,721,374,325,811
88,3638,691,362,316,730
89,4385,1297,761,696,1400
90,3805,990,553,504,1082
91,3972,1220,546,520,1191
92,3674,694,363,294,816
93,3681,616,382,320,734
94,3602,714,382,335,797
95,4288,1322,749,715,1403
96,3970,1246,622,598,1268
97,4148,1401,679,646,1413
98,3750,894,447,380,991
99,3551,652,300,243,692
