interval	#all	%eigen	%spantree	%cosine	%common
0	32136	0,0183906	0,0061302	0,0187329	0,00494772
0,1	70652	0,0345496	0,0129225	0,033205	0,00983695
0,2	84129	0,0360756	0,0182696	0,039903	0,0127067
0,3	80456	0,0538804	0,0306006	0,0596475	0,021142
0,4	68408	0,0749912	0,0457987	0,0838645	0,033154
0,5	56374	0,104321	0,0650477	0,11931	0,0460851
0,6	48086	0,157343	0,0931664	0,176184	0,0706027
0,7	42684	0,198037	0,112501	0,21542	0,0890498
0,8	40781	0,220936	0,123342	0,241068	0,104558
0,9	38441	0,253609	0,130668	0,270206	0,116074
1	37806	0,260144	0,135772	0,278633	0,122071
1,1	38186	0,26913	0,136411	0,285838	0,126408
1,2	37887	0,278064	0,138306	0,289466	0,131285
1,3	36816	0,268796	0,131274	0,277108	0,127227
1,4	35277	0,252856	0,119058	0,260141	0,115486
1,5	33853	0,234809	0,111541	0,242519	0,109267
1,6	32029	0,212651	0,0993475	0,217865	0,0980362
1,7	29191	0,185091	0,0814292	0,189853	0,0805728
1,8	27646	0,183137	0,0791796	0,186862	0,0787456
1,9	25388	0,179258	0,0819285	0,181503	0,0816921
2	22676	0,154525	0,0754983	0,157038	0,0754983
2,1	19199	0,105526	0,0466691	0,106881	0,0466691
2,2	15856	0,0600404	0,0173436	0,0619324	0,0173436
2,3	13816	0,0847568	0,0376375	0,0849739	0,0376375
2,4	11196	0,0382279	0,0176849	0,0390318	0,0176849
2,5	8346	0,00323508	0	0,0033549	0
2,6	6550	0	0	0	0
2,7	4739	0	0	0	0
2,8	3327	0	0	0	0
2,9	2252	0	0	0	0
3	1383	0	0	0	0
3,1	804	0	0	0	0
3,2	414	0	0	0	0
3,3	195	0	0	0	0
3,4	72	0	0	0	0
3,5	21	0	0	0	0
3,6	4	0	0	0	0
